REGIAO:;S
UF:;PR
ESTACAO:;COLOMBO
CODIGO (WMO):;B806
LATITUDE:;-25,32249999
LONGITUDE:;-49,15777777
ALTITUDE:;950
DATA DE FUNDACAO:;01/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;908,1;908,1;907,9;;21;19;21,3;21;19,2;18,7;88;85;88;9;1,1;,6;
2026/01/01;0100 UTC;0;908,6;908,6;908,1;;21;19,3;21,1;21;19,4;19;90;88;90;274;1,7;,6;
2026/01/01;0200 UTC;0;908,9;908,9;908,5;;20,9;19,5;21;20,9;19,5;19,3;92;90;92;259;2;,8;
2026/01/01;0300 UTC;,6;908,2;908,9;908,2;;20,7;19,5;20,9;20,6;19,5;19,3;93;92;93;251;1,9;,6;
2026/01/01;0400 UTC;,8;906,9;908,2;906,9;;20,6;19,8;20,7;20,5;19,8;19,5;95;93;95;315;1,9;,6;
2026/01/01;0500 UTC;,2;907;907,1;906,9;;20,7;20;20,7;20,3;20;19,6;96;95;96;323;7,1;2,7;
2026/01/01;0600 UTC;1,8;906,2;907;906,2;;20;19,2;20,8;20;20;19,2;96;96;96;324;8,6;3,3;
2026/01/01;0700 UTC;1,4;905,5;906,2;905,5;;19,5;18,8;20;19,4;19,2;18,7;96;95;96;284;7,5;2,1;
2026/01/01;0800 UTC;0;905,4;905,5;905,3;;19,9;19,1;19,9;19,5;19,1;18,9;96;95;95;289;5,9;2;
2026/01/01;0900 UTC;0;905,9;905,9;905,4;12,4;19,9;19,2;19,9;19,8;19,2;19;96;95;96;281;4,5;1,3;
