REGIAO:;S
UF:;RS
ESTACAO:;TAQUARI
CODIGO (WMO):;B815
LATITUDE:;-29,79166666
LONGITUDE:;-51,82749999
ALTITUDE:;53
DATA DE FUNDACAO:;14/08/25
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1029,3;1029,3;1029,3;0;30;28,6;30,7;26,2;29,5;24,4;97;90;93;178;2,2;1;
2026/01/01;0100 UTC;0;1021,3;1022,9;1019,5;0;29,4;27,7;30,1;28,8;28,7;26,2;96;85;91;315;3,3;1,7;
2026/01/01;0200 UTC;0;1022;1024,3;1019,2;0;28,7;26,5;29,6;27,4;27,2;25,8;94;85;89;317;1,9;,9;
2026/01/01;0300 UTC;0;1023,7;1024,2;1022,1;0;28,3;27,5;29,8;26,8;29,6;25,3;100;92;96;304;1,8;1;
2026/01/01;0400 UTC;0;1024,1;1024,1;1024,1;0;29;29,2;29,5;28,3;29,6;28,9;100;100;100;177;1,2;,5;
2026/01/01;0500 UTC;0;1024,1;1024,1;1024,1;0;28,7;;29,4;28,1;;;100;100;100;308;1,6;1;
2026/01/01;0600 UTC;0;1024,1;1024,1;1024,1;0;29,6;;30,2;28,7;;;100;100;100;239;,9;,4;
2026/01/01;0700 UTC;0;1024,1;1024,1;1024,1;0;29,6;;30,3;29,1;;;100;100;100;131;,7;,2;
2026/01/01;0800 UTC;0;1024,1;1024,1;1024,1;0;28,9;;29,4;28,4;;;100;100;100;189;,5;,3;
2026/01/01;0900 UTC;0;1024,1;1024,1;1024,1;28;28,7;;29,6;27,7;;;100;100;100;329;1,9;1,1;
