REGIAO:;S
UF:;SC
ESTACAO:;ITAPOA
CODIGO (WMO):;A851
LATITUDE:;-26,08138888
LONGITUDE:;-48,64166666
ALTITUDE:;6,18
DATA DE FUNDACAO:;06/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1009,4;1010,2;1009,4;;24;23,2;24,1;23,9;23,2;23,1;95;95;95;287;3;,9;
2026/01/01;0100 UTC;0;1009,4;1009,5;1009,2;;24;23,2;24;24;23,3;23,2;96;95;95;267;2,5;,2;
2026/01/01;0200 UTC;0;1009,3;1009,5;1009,1;;23,7;23;24;23,7;23,2;23;96;95;96;182;1,3;0;
2026/01/01;0300 UTC;0;1008,9;1009,4;1008,9;;23,7;23;23,8;23,7;23,1;23;96;96;96;340;1,1;0;
2026/01/01;0400 UTC;,2;1007,4;1008,9;1007,4;;23,6;22,9;23,7;23,6;23;22,9;96;96;96;179;,2;0;
2026/01/01;0500 UTC;0;1007,1;1007,4;1007,1;;23,6;23;23,7;23,6;23;22,9;96;96;96;229;2,1;0;
2026/01/01;0600 UTC;0;1006,7;1007,1;1006,6;;23,5;22,8;23,6;23,5;23;22,8;96;96;96;240;3,4;,3;
2026/01/01;0700 UTC;0;1006,4;1006,8;1006,4;;23,3;22,7;23,5;23,3;22,8;22,7;96;96;96;212;1,7;,3;
2026/01/01;0800 UTC;0;1006,3;1006,4;1006,1;;23,4;22,8;23,4;23,2;22,8;22,6;96;96;96;203;1,5;0;
2026/01/01;0900 UTC;0;1006,5;1006,6;1006,3;16,6;23,5;22,8;23,5;23,3;22,8;22,7;96;96;96;119;,4;0;
